mes,ano,numerodias,alturamediaanterior,mstotalanterior,mstotal,tmin,dptmin,vartmin,tmed,dptmed,vartmed,tmax,dptmax,vartmax,umidade,dpumidade,varumidade,velocidadevento,dpvelocidadevento,varvelovidadevento,radiacaosolar,dpradiacaosolar,varradiacaosolar,chuva,dpchuva,varchuva,somatermica,dpsomatermica,varsomatermica,def,dpdef,vardef,exc,dpexc,varexc,TA
9,2014,42,14.92,1883.74,4239.11,9.42,4.85,23.49,14.28,4.17,17.43,20.38,4.86,23.60,76.16,9.99,99.89,3.56,1.80,3.25,608.70,6.03,36.36,161.20,10.91,118.99,329.90,3.55,12.58,13.07,0.38,0.14,87.62,8.85,78.36,56.08
10,2014,37,30.71,2147.13,3623.45,12.61,3.26,10.61,16.98,2.40,5.75,22.15,3.04,9.22,78.43,7.73,59.79,3.79,1.37,1.87,670.80,8.94,79.87,223.40,12.04,145.03,325.30,2.42,5.84,7.72,0.24,0.06,141.64,9.60,92.12,39.90
12,2014,41,30.52,1714.53,3873.10,15.69,3.04,9.26,21.04,2.47,6.10,27.01,3.58,12.81,72.29,9.77,95.38,3.52,1.31,1.71,1015.80,8.99,80.90,281.00,16.29,265.35,476.65,2.62,6.85,52.75,1.23,1.52,150.50,13.31,177.16,52.65
1,2015,47,28.30,3027.46,5751.29,17.66,2.99,8.91,22.50,2.31,5.34,28.45,3.21,10.31,74.30,10.13,102.56,3.23,1.15,1.32,1147.60,9.30,86.41,293.60,11.68,136.45,626.65,2.55,6.49,26.96,0.63,0.39,117.96,6.40,40.99,57.95
2,2015,36,34.07,3598.30,5775.18,17.70,2.47,6.12,22.72,1.93,3.71,29.01,2.41,5.79,75.99,5.22,27.27,3.27,0.83,0.69,899.60,6.20,38.48,105.40,6.72,45.16,494.15,2.12,4.51,39.43,0.77,0.60,10.94,1.80,3.23,60.47
5,2015,28,16.04,2394.09,2306.32,11.94,4.31,18.61,16.73,3.15,9.93,22.61,3.27,10.70,76.72,8.59,73.84,3.16,0.99,0.98,361.40,4.95,24.54,92.00,10.87,118.17,285.95,3.41,11.62,11.58,0.55,0.30,21.66,2.94,8.66,0.00
8,2015,32,3.07,884.09,1713.38,12.21,5.00,24.99,16.18,4.64,21.55,20.93,4.94,24.36,78.96,10.08,101.53,3.82,1.82,3.33,306.40,4.29,18.41,230.00,21.84,476.97,310.70,4.25,18.06,7.07,0.30,0.09,185.68,20.81,433.24,25.92
9,2015,49,8.40,1425.75,3728.00,10.83,4.05,16.37,15.13,3.28,10.74,20.47,3.63,13.18,78.92,11.96,143.08,3.60,1.41,2.00,651.70,7.17,51.43,384.40,17.60,309.69,428.30,2.85,8.10,15.62,0.47,0.22,288.10,14.15,200.29,46.98
12,2015,42,23.72,1574.65,2006.42,14.92,3.20,10.25,19.80,2.40,5.76,25.33,2.97,8.82,74.17,10.22,104.50,3.42,1.28,1.63,972.40,9.28,86.21,162.00,9.28,86.03,435.45,2.54,6.43,39.49,0.90,0.80,45.01,4.21,17.72,10.28
2,2016,64,13.38,1579.49,5567.94,18.81,2.37,5.61,23.57,1.97,3.87,29.59,2.86,8.17,73.90,9.16,83.85,3.41,0.89,0.80,1531.30,8.43,71.14,320.60,14.99,224.74,923.05,2.10,4.41,122.61,1.62,2.63,156.80,11.50,132.21,62.32
3,2016,42,17.55,3101.39,4762.12,16.77,2.95,8.67,21.35,2.95,8.69,26.97,4.15,17.24,77.03,8.86,78.43,3.06,1.42,2.01,795.00,7.72,59.58,248.60,15.85,251.30,510.20,3.06,9.34,26.98,0.65,0.42,118.40,13.75,189.15,39.54
5,2016,44,13.88,2415.60,2776.17,13.87,5.96,35.55,17.33,5.19,26.97,21.91,5.25,27.56,83.97,7.08,50.17,2.74,1.60,2.55,465.00,5.86,34.28,340.80,13.38,179.16,399.15,3.83,14.64,4.90,0.16,0.02,279.95,12.40,153.68,8.19
6,2016,33,12.14,1440.91,1018.77,6.41,3.94,15.51,10.46,3.07,9.45,15.54,2.98,8.87,82.20,8.20,67.28,2.81,1.18,1.39,327.90,3.84,14.73,82.40,9.82,96.38,117.45,2.06,4.23,2.71,0.07,0.01,47.14,6.53,42.61,0.00
8,2016,55,6.51,550.03,2217.44,8.25,4.56,20.77,12.26,4.19,17.54,17.57,4.87,23.71,82.69,7.31,53.49,2.95,1.31,1.71,529.10,4.34,18.83,173.40,9.60,92.09,313.85,3.64,13.25,5.21,0.12,0.01,108.47,8.08,65.31,30.32
9,2016,34,7.11,868.64,2361.67,9.64,3.65,13.30,14.11,3.75,14.05,19.70,5.22,27.27,76.89,13.78,189.98,3.71,1.56,2.45,393.20,7.78,60.58,114.40,5.89,34.71,261.85,3.65,13.31,10.88,0.41,0.17,60.22,4.46,19.86,43.91
10,2016,44,19.41,2642.89,5233.51,11.03,4.29,18.40,15.93,3.04,9.23,21.91,3.23,10.45,75.42,9.13,83.37,3.76,1.27,1.61,853.90,7.29,53.11,136.40,8.14,66.27,347.15,2.54,6.44,44.09,0.93,0.87,55.84,5.09,25.92,58.88
11,2016,28,10.99,3438.42,3392.45,12.84,4.02,16.18,18.72,3.64,13.28,25.13,3.94,15.54,66.71,10.32,106.54,3.56,1.08,1.16,730.80,8.36,69.92,92.80,10.03,100.51,260.50,3.57,12.78,40.67,1.05,1.10,32.69,5.96,35.50,0.00
12,2016,36,10.91,1527.61,1178.77,16.13,3.55,12.57,22.37,2.52,6.34,29.61,3.21,10.27,64.67,11.87,141.01,3.65,0.93,0.87,965.50,9.07,82.19,88.00,5.99,35.85,476.05,2.84,8.09,118.78,1.84,3.38,0.00,0.00,0.00,0.00
1,2017,32,8.78,779.88,6414.98,18.65,2.63,6.90,23.48,1.90,3.62,29.41,2.32,5.38,77.12,5.62,31.59,3.39,0.79,0.62,787.40,7.14,50.97,189.20,10.81,116.96,463.05,2.11,4.45,23.57,0.79,0.62,81.20,7.60,57.83,176.10
3,2017,35,11.37,3975.34,3059.52,19.16,2.69,7.24,23.57,2.10,4.41,29.37,2.45,6.00,78.82,5.31,28.24,2.98,0.91,0.83,768.70,6.27,39.34,176.60,13.09,171.29,513.45,2.30,5.29,40.04,1.08,1.16,51.48,8.34,69.61,0.00
4,2017,43,19.82,2233.43,3933.67,15.03,3.29,10.83,19.74,2.45,6.00,25.70,2.77,7.69,76.82,7.07,50.05,3.48,1.06,1.13,793.00,6.79,46.14,242.80,20.90,436.93,455.95,2.63,6.93,34.19,0.70,0.49,159.88,14.66,215.06,39.54
5,2017,31,9.72,1845.49,2518.74,12.02,3.70,13.66,16.27,2.49,6.22,21.62,3.02,9.15,78.99,9.86,97.26,3.27,1.22,1.50,385.00,5.49,30.09,152.60,17.21,296.13,275.25,3.01,9.08,9.45,0.26,0.07,104.10,13.56,183.82,21.72
6,2017,38,7.53,851.06,1197.71,10.56,4.13,17.08,14.19,3.60,12.99,19.23,4.32,18.66,83.33,7.84,61.47,3.88,1.37,1.88,344.50,4.31,18.61,195.80,14.09,198.57,305.05,3.41,11.65,1.35,0.08,0.01,176.72,13.41,179.94,9.12
7,2017,30,9.92,986.83,1710.26,10.45,5.24,27.50,14.51,4.59,21.04,20.55,4.64,21.57,75.49,10.49,110.12,4.02,1.50,2.25,331.80,4.14,17.17,73.00,7.23,52.31,263.35,3.45,11.88,4.95,0.17,0.03,35.22,4.47,19.94,24.11
9,2017,40,7.42,1055.06,1667.64,11.64,4.85,23.54,16.47,4.27,18.25,22.64,4.80,23.02,75.35,9.43,88.87,4.12,1.51,2.29,551.60,5.59,31.26,174.40,10.01,100.30,413.65,4.33,18.73,17.57,0.54,0.29,117.95,7.56,57.21,15.31
10,2017,28,9.53,1319.09,1976.20,13.27,2.96,8.78,17.14,3.07,9.45,22.36,4.23,17.89,82.87,6.93,48.05,3.77,1.28,1.63,381.30,6.82,46.54,251.00,18.80,353.31,307.50,3.38,11.46,5.07,0.24,0.06,161.57,16.09,258.91,23.47
